museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q3868374,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.56144444 49.5835),en,literal,Poltava Local History Museum,en,literal,Poltava
uri,http://www.wikidata.org/entity/Q88875279,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.8329 45.33282),en,literal,Danube Flotilla Monument,en,literal,Nezalezhnosti Avenue
uri,http://www.wikidata.org/entity/Q31891070,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.297695279 50.737276778),uk,literal,Зоопарк ХІІ Місяців,,,
uri,http://www.wikidata.org/entity/Q3330552,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.8045 48.0251),en,literal,Donetsk Region Museum of local history,en,literal,Donetsk Oblast
uri,http://www.wikidata.org/entity/Q4081696,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.35333333 46.19388889),en,literal,Local museum in Bilhorod-Dnistrovskyi,en,literal,Bilhorod-Dnistrovskyi
uri,http://www.wikidata.org/entity/Q25432073,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.758055555 49.433888888),en,literal,Medenychi Zoo Limpopo,en,literal,Drohobych Raion
uri,http://www.wikidata.org/entity/Q12110818,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.205229708 49.15045975),uk,literal,Кобеляцький музей літератури і мистецтва,en,literal,Kobeliaky
uri,http://www.wikidata.org/entity/Q4496313,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(36.225 50.002777777),en,literal,Kharkiv Zoo,en,literal,Kharkiv
uri,http://www.wikidata.org/entity/Q12090189,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(31.334132972 47.562788082),uk,literal,Вознесенський художній музей імені Євгена Кибрика,en,literal,Mykolaiv Oblast
uri,http://www.wikidata.org/entity/Q110966452,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.663055555 48.568888888),uk,literal,Екопарк «Долина Вовків»,en,literal,Zakarpattia Oblast
uri,http://www.wikidata.org/entity/Q12110681,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(28.88661 50.294507),en,literal,Kmytiv art museum,en,literal,Kmitiv
uri,http://www.wikidata.org/entity/Q3400438,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.51444 50.39583),en,literal,Maxym Rylsky Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q1989108,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.032345 49.842671),en,literal,Pharmacy Museum,en,literal,Lviv
uri,http://www.wikidata.org/entity/Q2338568,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(29.2164033 50.4774861),en,literal,Radomysl Castle,en,literal,Radomyshl
uri,http://www.wikidata.org/entity/Q15120993,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.54485 44.594369444),en,literal,Sevastopol Zoo,,,
uri,http://www.wikidata.org/entity/Q2073209,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.513512 50.444758),en,literal,Pedagogical Museum,en,literal,"Volodymyrska Street, Kyiv"
uri,http://www.wikidata.org/entity/Q743881,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.882104 44.749009),en,literal,Bakhchisaray Palace,en,literal,Bakhchysarai
uri,http://www.wikidata.org/entity/Q12122625,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.20361 51.522329),en,literal,Mena Zoo,en,literal,Chernihiv Oblast
uri,http://www.wikidata.org/entity/Q4331480,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.7288 46.4934),en,literal,Odesa Fine Arts Museum,en,literal,Odesa
uri,http://www.wikidata.org/entity/Q1232436,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.5233 44.5955),en,literal,Siege of Sevastopol,en,literal,Sevastopol
uri,http://www.wikidata.org/entity/Q3399006,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.514421698 50.445543343),en,literal,Archeological museum of NASU,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q16701571,,,,en,literal,Dolphinarium in Kyiv,,,
uri,http://www.wikidata.org/entity/Q4331441,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.765345 46.477063),en,literal,Dolphinarium in Odesa,en,literal,Odesa
uri,http://www.wikidata.org/entity/Q913880,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.459444444 50.407222222),en,literal,Ukraine State Aviation Museum,uk,literal,Медова вулиця (Київ)
uri,http://www.wikidata.org/entity/Q3398569,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.6319 50.4298),en,literal,Sewer Museum,en,literal,Darnytskyi District
uri,http://www.wikidata.org/entity/Q2338568,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(29.2164033 50.4774861),en,literal,Radomysl Castle,en,literal,Zhytomyr Oblast
uri,http://www.wikidata.org/entity/Q4186919,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.18324 47.81356),en,literal,Zaporizhzhia regional museum,en,literal,Zaporizhzhia
uri,http://www.wikidata.org/entity/Q4275693,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(37.963888888 48.045),en,literal,Makeevka Art and Local History Museum,en,literal,Makiivka
uri,http://www.wikidata.org/entity/Q12108893,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.461606 49.016456),uk,literal,Картинна галерея Наталії Юзефович,en,literal,Autozavodskoy Raion
uri,http://www.wikidata.org/entity/Q12108893,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.461606 49.016456),uk,literal,Картинна галерея Наталії Юзефович,en,literal,Kremenchuk
uri,http://www.wikidata.org/entity/Q2642379,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.5175 50.46222222),en,literal,One Street Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q110966452,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.663055555 48.568888888),uk,literal,Екопарк «Долина Вовків»,en,literal,Synevyrska Poliana
uri,http://www.wikidata.org/entity/Q3398656,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.55333333 50.43416667),en,literal,Mystetskyi Arsenal,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q20075384,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.524166666 50.451944444),en,literal,Griffin Gallery,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q2459274,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.464734 50.45553),en,literal,Kyiv Zoo,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q12130503,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(24.034755646 49.840037266),uk,literal,Музей Ідей,en,literal,Lviv
uri,http://www.wikidata.org/entity/Q12118980,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.339169444 50.741111111),en,literal,Lutsk Zoo,en,literal,Lutsk
uri,http://www.wikidata.org/entity/Q2628708,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.05552 44.419776),en,literal,Vorontsov Palace,en,literal,Alupka
uri,http://www.wikidata.org/entity/Q746631,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(25.038888888 48.528333333),en,literal,Pysanka Museum,en,literal,Kolomyia
uri,http://www.wikidata.org/entity/Q3398622,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.6314 50.4467),uk,literal,Музей історії КП «Київпастранс»,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q2502803,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.5146645 50.4607518),en,literal,Mikhail Bulgakov Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q2664327,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.517514 50.466361),en,literal,Ukrainian National Chornobyl Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q1139126,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.557013 50.434322),en,literal,National Museum of Ukrainian Decorative Folk Art,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q1857990,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.51223056 50.35453889),en,literal,National Museum of Folk Architecture and Folkways of Ukraine,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q16695984,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.497519676 49.354430459),en,literal,"Art Gallery, Drohobych",en,literal,Drohobych
uri,http://www.wikidata.org/entity/Q12167985,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.507777777 49.277777777),en,literal,Mykhailo Bilas Art Museum,en,literal,Lviv Oblast
uri,http://www.wikidata.org/entity/Q2093830,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.5585 50.43548),en,literal,Museum of the Book and Printing of Ukraine,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q3398413,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.52013889 50.44133333),en,literal,Sholom Aleichem Museum,en,literal,Kyiv
uri,http://www.wikidata.org/entity/Q2024073,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(22.30595833 48.62086111),en,literal,Museum of Folk Architecture and Life,en,literal,Uzhhorod
uri,http://www.wikidata.org/entity/Q12149655,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.33277778 50.60944444),en,literal,Rivne Zoo,en,literal,Rivne Oblast
