item.type,item.value,image.type,image.value,itemLabel.xml:lang,itemLabel.type,itemLabel.value,typeLabel.xml:lang,typeLabel.type,typeLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value,creatorLabel.xml:lang,creatorLabel.type,creatorLabel.value,collectionLabel.xml:lang,collectionLabel.type,collectionLabel.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,name_norm,creator_norm
uri,http://www.wikidata.org/entity/Q142917,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D0%B0%D1%82%D1%8C%D0%BA%D1%96%D0%B2%D1%89%D0%B8%D0%BD%D0%B0%20%D0%BC%D0%B0%D1%82%D0%B8.jpg,en,literal,Mother Ukraine Monument,en,literal,cultural property,en,literal,National Museum of the History of Ukraine in World War II,en,literal,Yevgeny Viktorovich Vuchetich,,,,,,,mother ukraine monument,yevgeny viktorovich vuchetich
uri,http://www.wikidata.org/entity/Q773182,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Nauka%20ta%20naukoznavstvo.jpg,en,literal,Science And Science of Science,en,literal,scientific journal,,,,,,,,,,,,,science and science of science,
uri,http://www.wikidata.org/entity/Q783276,uri,http://commons.wikimedia.org/wiki/Special:FilePath/50%20ann%20WW2%20obverse.jpg,en,literal,"Jubilee Medal ""50 Years of Victory in the Great Patriotic War 1941–1945""",en,literal,jubilee medal,,,,,,,,,,,,,jubilee medal 50 years of victory in the great patriotic war 19411945,
uri,http://www.wikidata.org/entity/Q870636,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Chop.svg,en,literal,flag of Chop,en,literal,municipal flag,,,,,,,,,,,,,flag of chop,
uri,http://www.wikidata.org/entity/Q1295826,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Szelmenci%20sz%C3%A9kelykapu.jpg,uk,literal,Малі Селменці (пункт контролю),en,literal,Székely gate,,,,,,,,,,,,,малі селменці пункт контролю,
uri,http://www.wikidata.org/entity/Q1848287,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Sevastopol%2004-14%20img09%20Vladimir%20Cathedral.jpg,en,literal,St. Vladimir's Cathedral,en,literal,architectural landmark,,,,,,,,,,,,,st vladimirs cathedral,
uri,http://www.wikidata.org/entity/Q161744,uri,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%B8%D0%B9%20%D0%B3%D1%96%D0%BC%D0%BD%20%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8.pdf,en,literal,"Shche ne vmerla Ukrainy i slava, i volia",en,literal,national anthem,,,,,,,,,,,,,shche ne vmerla ukrainy i slava i volia,
uri,http://www.wikidata.org/entity/Q280239,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zakarpattia%20Oblast.svg,en,literal,flag of Zakarpattia Oblast,en,literal,flag of a country subdivision,,,,,,,,,,,,,flag of zakarpattia oblast,
uri,http://www.wikidata.org/entity/Q846027,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Solokha%20barrow.%20V%20c.%20BC%20-%20panoramio.jpg,en,literal,Solokha,en,literal,burial mound,,,,,,,,,,,,,solokha,
uri,http://www.wikidata.org/entity/Q348387,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Lvov%20mickiewicz.JPG,en,literal,"Adam Mickiewicz Monument, Lviv",en,literal,monument,en,literal,Mickiewicz Square,,,,,,,,,,adam mickiewicz monument lviv,
