artist_id,name,birth_date,death_date,description
Q4287593,Edit Medveczkyné Luták,1932-10-22T00:00:00Z,2019-02-23T00:00:00Z,Hungarian painter (1932-2019)
Q6075240,Iryna Zhychuk,1985-04-21T00:00:00Z,,Ukrainian artist (born 1985)
Q4503823,Mykola Ivanovych Tseluiko,1937-06-03T00:00:00Z,2007-10-31T00:00:00Z,Ukrainian artist (1937-2007)
Q12078451,Mykola Anyshchenko,1915-05-26T00:00:00Z,2009-11-13T00:00:00Z,Ukrainian painter
Q4150441,Oksana Hrudzynska,1923-07-28T00:00:00Z,2024-01-11T00:00:00Z,Ukrainian Soviet painter
Q2587422,Vladimir Strelnikov,1939-10-25T00:00:00Z,,Ukrainian artist
Q4152247,Seyfaddin Gurbanov,1962-10-19T00:00:00Z,2021-11-16T00:00:00Z,Ukrainian-Azerbaijani painter
Q4143889,Garri Gordon,1941-07-12T00:00:00Z,,Soviet poet
Q12098325,Mykhailo Huyda,1954-12-18T00:00:00Z,,Ukrainian painter
Q12107637,Martemian Vasylovych Kazarbin,1938-05-08T00:00:00Z,2000-02-19T00:00:00Z,Ukrainian painter
Q4143103,Olha Honobolina,1963-05-17T00:00:00Z,,Ukrainian painter
Q12109316,Lileia Kvasnytsia-Ambitska,1960-07-08T00:00:00Z,,Ukrainian artist
Q4124852,Stanislav Voliazlovskiï,1971-10-14T00:00:00Z,2018-01-08T00:00:00Z,painter (1971-2018)
Q4285870,Мацегора Григорій Прокопович,1934-09-08T00:00:00Z,2024-01-26T00:00:00Z,Ukrainian painter
Q12073833,Івахненко Олександр Іванович,1949-10-16T00:00:00Z,2014-06-09T00:00:00Z,Ukrainian painter (1949–2014)
Q12078307,Андрушко Василь,1953-03-22T00:00:00Z,,Ukrainian painter
Q12111106,Pavlo Kovtoun,1937-08-08T00:00:00Z,2014-11-25T00:00:00Z,Ukrainian artist (1937-2014)
Q12097961,Громовий Микола Петрович,1932-12-03T00:00:00Z,,Ukrainian painter
Q4535928,Tetiana Yablonska,1917-02-24T00:00:00Z,2005-06-17T00:00:00Z,Soviet and Ukrainian painter (1917–2005)
Q4496173,Volodymyr Kharchenko,1959-03-20T00:00:00Z,,Ukrainian painter
Q12110474,Fedir Klymenko,1937-05-22T00:00:00Z,2017-12-03T00:00:00Z,painter (1937-2017)
Q4122771,Alexander Voytovych,1971-01-01T00:00:00Z,,Ukrainian artist
Q4511846,Oksana Chepelyk,1961-02-14T00:00:00Z,,Ukrainian artist and filmmaker
Q4152405,Alexandr Guristyuk,1959-06-02T00:00:00Z,,Ukrainian artist
Q12098405,Feodosii Humeniuk,1941-09-06T00:00:00Z,,Ukrainian painter and graphic artist
Q4276255,Natalia Maksymova,1971-03-13T00:00:00Z,,painter
Q6433439,Kost Lavro,1961-03-11T00:00:00Z,,Ukrainian artist
Q4494051,Nina Fedorova,1907-12-30T00:00:00Z,1993-01-30T00:00:00Z,Soviet painter (1907-1993)
Q4482310,Федько Володимир Петрович,1940-09-11T00:00:00Z,2006-11-05T00:00:00Z,painter (1940-2006)
Q4518786,Ivan Chyorny,1925-03-03T00:00:00Z,2008-12-08T00:00:00Z,Soviet painter (1925-2008)
Q11729310,Juliusz Krajewski,1905-09-03T00:00:00Z,1992-01-07T00:00:00Z,Polish artist (1905-1992)
Q12110011,Odarka Kyselytsia,1912-04-01T00:00:00Z,1999-01-19T00:00:00Z,Ukrainian painter (1912-1999)
Q2240145,Viktorya Kosova,1988-09-18T00:00:00Z,,"Ukrainian actor, singer and artist"
Q4515879,Konstantin Chikin,1927-03-06T00:00:00Z,1994-03-27T00:00:00Z,"Soviet and Ukrainian animator, director of animated films, painter (1927–1994)"
Q4155800,Mikhail Dvoyeglazov,1950-05-17T00:00:00Z,,Russian painter
Q4131933,Ihor Haidai,1961-01-22T00:00:00Z,,Ukrainian photo artist
Q12075459,Yurii Ishchenko,1943-03-27T00:00:00Z,,Ukrainian painter
Q4495705,Vladimir Kharakoz,1949-01-20T00:00:00Z,,Ukrainian painter
Q12078367,Mykhailo Andriychuk,1927-11-21T00:00:00Z,2020-11-01T00:00:00Z,Ukrainian graphic artist
Q12098554,Гурін Василь Іванович,1939-03-18T00:00:00Z,2018-09-10T00:00:00Z,painter (1939-2018)
Q7730603,Каспрук Віталій Кононович,1948-08-02T00:00:00Z,,Ukrainian painter
Q4537255,Heorhii Yakutovych,1930-02-14T00:00:00Z,2000-09-05T00:00:00Z,Ukrainian artist (1930-2000)
Q12075474,Natalya Iyevleva,1947-07-02T00:00:00Z,,Ukrainian painter
Q4527666,Vladimir Shuma,1965-01-04T00:00:00Z,,Ukrainian painter
Q6351734,Christina Katrakis,1980-12-16T00:00:00Z,,International painter
Q2639482,Maria Prymachenko,1909-01-12T00:00:00Z,1997-08-18T00:00:00Z,Ukrainian folk art painter (1909–1997)
Q7940632,Volodymyr Yurchyshyn,1935-07-27T00:00:00Z,2010-08-17T00:00:00Z,Ukrainian artist (1935-2010)
Q4125193,Mykola Vorobiov,1941-10-12T00:00:00Z,,Ukrainian poet
Q2404340,Ihor Kalynets,1939-07-09T00:00:00Z,2025-06-28T00:00:00Z,Ukrainian poet and Soviet dissident (1939–2025)
Q2589153,Кислий Микола Іванович,1948-01-01T00:00:00Z,2010-10-25T00:00:00Z,Soviet painter and architect (1948-2010)
Q12144345,Kostiantine Prissiajni,1936-01-15T00:00:00Z,2015-09-02T00:00:00Z,Soviet architect and artist (1936-2015)
Q12112019,Коморний Сергій В’ячеславович,1963-05-23T00:00:00Z,,Ukrainian painter
Q4157068,Georgy Deliev,1960-01-01T00:00:00Z,,"Soviet and Ukrainian actor, composer and film director"
Q4520399,Hanna Sharay,1921-03-25T00:00:00Z,2013-06-24T00:00:00Z,Soviet painter (1921-2013)
Q4522857,Vladimir Shendel,1936-06-22T00:00:00Z,2019-09-13T00:00:00Z,Soviet painter (1936-2019)
Q4142168,Oleg Holosiy,1965-05-31T00:00:00Z,1993-01-18T00:00:00Z,painter (1965-1993)
Q6653968,Liuboslav Hutsaliuk,1923-04-02T00:00:00Z,2003-12-16T00:00:00Z,"painter, graphic artist and cartoonist (1923-2003)"
Q12110090,Китриш Михайло Єгорович,1936-10-21T00:00:00Z,,Ukrainian painter
Q4521787,Nadezhda Shvets,1959-06-24T00:00:00Z,2022-10-18T00:00:00Z,Ukrainian painter (1959–2022)
Q4275946,Ivan Makohon,1907-10-26T00:00:00Z,2001-08-19T00:00:00Z,Ukrainian painter (1907-2001)
Q4111924,Вінтенко Борис Михайлович,1927-07-25T00:00:00Z,2002-10-15T00:00:00Z,Ukrainian painter (1927-2002)
Q4528052,Іван Михайлович Шутєв,1933-10-28T00:00:00Z,2019-09-23T00:00:00Z,Soviet painter (1933-2019)
Q2043994,Ivan Marchuk,1936-05-12T00:00:00Z,,Ukrainian artist (born 1936)
Q12111102,Ковтун Віктор Іванович,1958-06-01T00:00:00Z,,Ukrainian painter
Q12111973,Commendant Oleg,1962-09-21T00:00:00Z,,Ukrainian painter
Q12084058,Pavlo Fedorovych Borysenko,1905-01-28T00:00:00Z,1993-12-01T00:00:00Z,painter (1905-1993)
Q16705356,Anatolii Lutsenko,1925-02-17T00:00:00Z,2002-10-19T00:00:00Z,Ukrainian painter
Q12084488,Lyudmila Boyarskaya,1939-03-27T00:00:00Z,2016-07-09T00:00:00Z,Soviet and Ukrainian theater artist (1939-2016)
Q12102971,Alla Dutkovska,1949-08-15T00:00:00Z,2004-06-19T00:00:00Z,Ukrainian costume artist and educator (1949-2004)
Q12102964,Дутка-Жаворонкова Вікторія Валеріївна,1965-11-28T00:00:00Z,,Ukrainian art historian
Q16708999,Нестерчук Мирон Матвійович,1942-05-25T00:00:00Z,,Ukrainian painter
Q12101611,Oleksandr Dovhaliuk,1942-05-10T00:00:00Z,2004-04-05T00:00:00Z,Ukrainian painter (1942-2004)
Q12167344,Khmelnytskyi Oleksandr Anatoliyovych,1924-08-02T00:00:00Z,1998-06-05T00:00:00Z,painter (1924-1998)
Q12154597,Bohdan Soroka,1940-09-02T00:00:00Z,2015-04-09T00:00:00Z,Ukrainian artist (1940-2015)
Q12102344,Древецький Анатолій Анатолійович,1949-10-22T00:00:00Z,,Ukrainian painter (born 1949)
Q12114641,Mychajlo Kryvenko,1921-05-10T00:00:00Z,2008-12-21T00:00:00Z,painter (1921-2008)
Q12103223,Дідула Володимир Петрович,1961-01-22T00:00:00Z,,Ukrainian journalist
Q12152829,Синиця Григорій Іванович,1908-01-17T00:00:00Z,1996-10-10T00:00:00Z,painter (1908-1996)
Q12151925,Lyudmila Semashko,1947-10-09T00:00:00Z,,Soviet and Ukrainian makeup artist
Q12100967,Дзюбан Іван Феодосійович,1923-02-02T00:00:00Z,2008-01-01T00:00:00Z,painter (1923-2008)
Q12152676,Militsa Simashkevich,1900-07-22T00:00:00Z,1976-12-11T00:00:00Z,"Ukrainian theater and film artist, painter (1900–1976)"
Q16707209,Мишак Віра Григорівна,1928-03-17T00:00:00Z,,Ukrainian painter
Q12165925,Galina Fomina,1933-11-13T00:00:00Z,1998-07-04T00:00:00Z,painter (1933-1998)
Q12165495,Fedusko,,,Ukrainian painter
Q12166010,Volodymyr Forostetskyi,1946-08-29T00:00:00Z,2017-04-01T00:00:00Z,Ukrainian painter (1946-2017)
Q16161412,Ivan Babiichuk,1944-07-04T00:00:00Z,2015-10-17T00:00:00Z,Ukrainian painter
Q12148501,Leonid Rozsokha,1942-02-24T00:00:00Z,2010-03-05T00:00:00Z,"Soviet, Ukrainian artist-director of theater and cinema."
Q12151449,Halyna Sevruk,1929-05-18T00:00:00Z,2022-02-13T00:00:00Z,Ukrainian artist
Q12103209,Ivan Didyk,1951-05-31T00:00:00Z,,Ukrainian painter
Q12084868,Dmytro Bryk,1921-02-15T00:00:00Z,1992-01-15T00:00:00Z,Ukrainian painter (1921-1992)
Q12166526,Konstantin Vladimirovich Filatov,1926-03-09T00:00:00Z,2006-01-01T00:00:00Z,painter (1926-2006)
Q12152004,Viktor Semernjov,1942-03-26T00:00:00Z,,Ukrainian painter
Q12152595,Volodymyr Sydoruk,1925-01-03T00:00:00Z,1997-12-16T00:00:00Z,Ukrainian painter (1925-1997)
Q12146376,Yevgeny Pitenin,1950-09-30T00:00:00Z,,"Soviet and Ukrainian film artist, production designer"
Q16707589,Мохор Юрій Павлович,1922-03-20T00:00:00Z,1997-02-23T00:00:00Z,Ukrainian painter
Q12104435,Yevhen Fedorovych Zherdzytskyi,1928-10-19T00:00:00Z,,Ukrainian painter
Q12166742,Mykhailo Figol,1927-10-18T00:00:00Z,1999-05-25T00:00:00Z,Ukrainian painter (1927-1999)
Q12165472,Oleh Fedoriv,1942-07-08T00:00:00Z,,Ukrainian painter
Q12158039,Mykola Storozhenko,1928-09-24T00:00:00Z,2015-04-15T00:00:00Z,artist (1928-2015)
Q12084942,Бровді Іван Васильович,1939-06-02T00:00:00Z,2023-03-02T00:00:00Z,Ukrainian sculptor
Q12152439,Valentyna Sertsova,1952-10-22T00:00:00Z,2022-08-08T00:00:00Z,Soviet and Ukrainian artist
Q16160762,Антончик Михайло Владиславович,1921-06-15T00:00:00Z,1998-07-08T00:00:00Z,Ukrainian painter
Q12101688,Olga Anatolievna Dovzhenko,1963-10-07T00:00:00Z,1994-05-24T00:00:00Z,painter (1963-1994)
Q12158134,Mikolai Stratilat,1942-06-06T00:00:00Z,2023-03-09T00:00:00Z,Ukrainian painter and graphic artist
Q12102261,Драган Тарас Миколайович,1932-02-29T00:00:00Z,2009-02-02T00:00:00Z,Ukrainian painter (1932-2009)
Q12114688,Orest Krivoruchko,1942-05-09T00:00:00Z,2021-03-26T00:00:00Z,Ukrainian artist (1942–2021)
Q12115157,Boris Kriukow,1895-01-19T00:00:00Z,1967-03-06T00:00:00Z,Ukrainian painter (1895-1967)
Q16708338,Мірошниченко Павло Петрович,1920-07-01T00:00:00Z,2005-12-28T00:00:00Z,Ukrainian painter
Q12103942,Enrique Fernandez Rodriguez,1935-02-01T00:00:00Z,1993-02-25T00:00:00Z,"Soviet painter, production designer (1935-1993)"
Q12101609,Viktor Dovhaliuk,1967-08-15T00:00:00Z,,Ukrainian painter (b. 1967)
Q12146905,Mikhail Rakovskiy,1924-01-14T00:00:00Z,2000-11-10T00:00:00Z,"Soviet painter, production designer (1924-2000)"
Q12102683,Volodymyr Dubrovskyi,1923-02-18T00:00:00Z,,Ukrainian painter
Q12104527,Larisa Zhilko,1954-03-27T00:00:00Z,,Soviet and Ukrainian production designer
Q12085158,Бугаєнко Ігор Никонович,1939-01-03T00:00:00Z,,Ukrainian art historian
Q12103859,Olena Emma,1934-08-25T00:00:00Z,2007-01-01T00:00:00Z,Ukrainian painter
Q12105144,Завгородній Анатолій Петрович,1929-12-28T00:00:00Z,2009-08-27T00:00:00Z,painter (1929-2009)
Q12150852,Nina Sayenko,1944-01-24T00:00:00Z,,Ukrainian painter
Q12104887,Heorhiy Zhuravskyi,1948-12-24T00:00:00Z,,Ukrainian painter
Q12171167,Viktor Shatalin,1926-11-15T00:00:00Z,2003-07-02T00:00:00Z,Sowjet and Ukrainian painter and educator (1926-2003)
Q12159509,Сіробаба Микола Васильович,1944-04-25T00:00:00Z,,Ukrainian painter
Q12137279,Павленко Наталія Митрофанівна,1951-03-24T00:00:00Z,2008-01-14T00:00:00Z,painter (1951-2008)
Q12167524,Hanna Kholoptseva,1923-03-04T00:00:00Z,,Soviet and Ukrainian decorative arts artist and restorer
Q12169534,Volodymyr Chepelyk,1945-10-17T00:00:00Z,2021-04-13T00:00:00Z,"Ukrainian painter, sculptor and professor"
Q12121640,Nina Marchenko,1940-10-15T00:00:00Z,,Soviet painter
Q12159507,Vira Sirobaba-Klymko,1948-05-08T00:00:00Z,,Ukrainian painter
Q12171715,Шеремет Олександр Петрович,1950-10-29T00:00:00Z,2007-08-08T00:00:00Z,painter (1950-2007)
Q12171713,Aleksandr Sheremet,1949-08-28T00:00:00Z,,"Soviet and Ukrainian painter, production designer"
Q12137328,Pavlovich Vladimir Nazarovich,1947-03-09T00:00:00Z,,"Ukrainian painter, teacher"
Q12118174,Лихоносов Володимир Васильович,1935-08-14T00:00:00Z,2007-01-29T00:00:00Z,painter (1935-2007)
Q12137057,Yakiv Omelianovych Ocheretko,1916-03-27T00:00:00Z,1996-06-09T00:00:00Z,painter (1916-1996)
Q12171750,Alla Shesterenko,1941-02-12T00:00:00Z,2015-04-05T00:00:00Z,Soviet and Ukrainian painter (1941—2015)
Q12121528,Oleksandr Martynets,1932-04-01T00:00:00Z,2008-06-24T00:00:00Z,Ukrainian painter (1932-2008)
Q12118952,Луцкевич Юрій Павлович,1934-09-09T00:00:00Z,2001-06-22T00:00:00Z,painter (1934-2001)
Q12169276,Vilen Andreevich Chekanyuk,1932-10-12T00:00:00Z,2000-09-21T00:00:00Z,Soviet and Ukrainian painter (1932-2000)
