museum.type,museum.value,coord.datatype,coord.type,coord.value,museumLabel.xml:lang,museumLabel.type,museumLabel.value,locationLabel.xml:lang,locationLabel.type,locationLabel.value
uri,http://www.wikidata.org/entity/Q12093268,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.438091851 47.944305035),uk,literal,Вільнянський краєзнавчий музей,en,literal,Vilniansk
uri,http://www.wikidata.org/entity/Q12118560,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.98861111 50.01611111),uk,literal,Лубенський краєзнавчий музей імені Гната Стеллецького,en,literal,Lubny Raion
uri,http://www.wikidata.org/entity/Q12118507,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.263549356 50.357057854),en,literal,Lokhvytsia local museum,en,literal,Lokhvytsia
uri,http://www.wikidata.org/entity/Q12112410,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.204838 51.2389382),en,literal,Konotopsʹkyĭ misʹkyĭ krai͡eznavchyĭ muzeĭ im. O.M. Lazarevsʹkoho,en,literal,Konotop
uri,http://www.wikidata.org/entity/Q12133582,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.642584999 50.334695708),uk,literal,Нетішинський міський краєзнавчий музей,en,literal,Shepetivka Raion
uri,http://www.wikidata.org/entity/Q12102905,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.846813581 48.885006139),uk,literal,Дунаєвецький районний історико-краєзнавчий музей,en,literal,Kamianets-Podilskyi Raion
uri,http://www.wikidata.org/entity/Q12171945,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.003530604 49.87742817),uk,literal,Шишацький краєзнавчий музей,en,literal,Poltava Oblast
uri,http://www.wikidata.org/entity/Q12084298,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.033032936 48.803504788),uk,literal,Борщівський обласний краєзнавчий музей,en,literal,Borshchiv
uri,http://www.wikidata.org/entity/Q12108735,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.071210745 49.440923855),uk,literal,Карлівський історико-краєзнавчий музей,en,literal,Poltava Raion
uri,http://www.wikidata.org/entity/Q12149656,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.247777777 50.615277777),en,literal,Rivnensʹkyĭ oblasnyĭ krai͡eznavchyĭ muzeĭ,en,literal,Rivne
uri,http://www.wikidata.org/entity/Q12149656,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.247777777 50.615277777),en,literal,Rivnensʹkyĭ oblasnyĭ krai͡eznavchyĭ muzeĭ,en,literal,Rivne Oblast
uri,http://www.wikidata.org/entity/Q12133582,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.642584999 50.334695708),uk,literal,Нетішинський міський краєзнавчий музей,en,literal,Netishyn
uri,http://www.wikidata.org/entity/Q12102905,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.846813581 48.885006139),uk,literal,Дунаєвецький районний історико-краєзнавчий музей,en,literal,Dunaivtsi
uri,http://www.wikidata.org/entity/Q12083094,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(31.3851401 50.7415544),en,literal,Bobrovytsia Local Historical Museum,en,literal,Bobrovytsia
uri,http://www.wikidata.org/entity/Q12164536,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.21805556 48.74361111),en,literal,Uman Local Museum,en,literal,Uman
uri,http://www.wikidata.org/entity/Q12118560,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.98861111 50.01611111),uk,literal,Лубенський краєзнавчий музей імені Гната Стеллецького,en,literal,Poltava Oblast
uri,http://www.wikidata.org/entity/Q12167353,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.978166666 49.426777777),en,literal,Khmelʹnyt︠s︡ʹkyĭ oblasnyĭ krai︠e︡znavchyĭ muzeĭ,en,literal,Khmelnytskyi
uri,http://www.wikidata.org/entity/Q12133582,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.642584999 50.334695708),uk,literal,Нетішинський міський краєзнавчий музей,en,literal,Khmelnytskyi Oblast
uri,http://www.wikidata.org/entity/Q12102905,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.846813581 48.885006139),uk,literal,Дунаєвецький районний історико-краєзнавчий музей,en,literal,Khmelnytskyi Oblast
uri,http://www.wikidata.org/entity/Q12123475,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.943906439 50.025560732),en,literal,Myrhorodsʹkyĭ krai͡eznavchyĭ muzeĭ,en,literal,Myrhorod Raion
uri,http://www.wikidata.org/entity/Q12162505,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(34.957765 50.4746526),en,literal,Trostyanets Regional Museum of Local Lore,en,literal,Trostianets
uri,http://www.wikidata.org/entity/Q12118560,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.98861111 50.01611111),uk,literal,Лубенський краєзнавчий музей імені Гната Стеллецького,en,literal,Lubny
uri,http://www.wikidata.org/entity/Q12108735,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.071210745 49.440923855),uk,literal,Карлівський історико-краєзнавчий музей,en,literal,Poltava Oblast
uri,http://www.wikidata.org/entity/Q12108735,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.071210745 49.440923855),uk,literal,Карлівський історико-краєзнавчий музей,en,literal,Karlivka
uri,http://www.wikidata.org/entity/Q12074136,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(26.829292394 50.11369812),uk,literal,Ізяславський районний історико-краєзнавчий музей,en,literal,Iziaslav
uri,http://www.wikidata.org/entity/Q12123475,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.943906439 50.025560732),en,literal,Myrhorodsʹkyĭ krai͡eznavchyĭ muzeĭ,en,literal,Velyki Sorochyntsi
uri,http://www.wikidata.org/entity/Q12123475,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(33.943906439 50.025560732),en,literal,Myrhorodsʹkyĭ krai͡eznavchyĭ muzeĭ,en,literal,Poltava Oblast
uri,http://www.wikidata.org/entity/Q12158226,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(23.847278 49.258778),uk,literal,Стрийський краєзнавчий музей «Верховина»,en,literal,Stryi
uri,http://www.wikidata.org/entity/Q4306258,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(35.38003333 45.03046667),en,literal,Museum of Hang-gliding,en,literal,Feodosiia
uri,http://www.wikidata.org/entity/Q12140604,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.5136 50.2416),uk,literal,Пирятинський районний народний краєзнавчий музей,en,literal,Pyriatyn
uri,http://www.wikidata.org/entity/Q12153094,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(32.89572539 46.111577735),uk,literal,Скадовський районний історико-краєзнавчий музей,uk,literal,Скадовська міська громада
uri,http://www.wikidata.org/entity/Q12084936,http://www.opengis.net/ont/geosparql#wktLiteral,literal,Point(30.786061126 50.513435016),uk,literal,Броварський краєзнавчий музей,en,literal,Brovary
