site,wkt
https://linked4resilience.eu/data/cultural-sites/00168,POINT(undefined NaN)
https://linked4resilience.eu/data/cultural-sites/00054,POINT(36.2457033129 50.0025700067)
https://linked4resilience.eu/data/cultural-sites/00172,POINT(31.9955637 46.9742509)
https://linked4resilience.eu/data/cultural-sites/00014,POINT(31.2994653406 51.4915954136)
https://linked4resilience.eu/data/cultural-sites/00082,POINT(37.275916919 49.1959777176)
https://linked4resilience.eu/data/cultural-sites/00200,POINT(33.427700356 46.8414071142)
https://linked4resilience.eu/data/cultural-sites/00085,POINT(37.6108029565 49.7143130032)
https://linked4resilience.eu/data/cultural-sites/00181,POINT(30.7445468693 46.4850722184)
https://linked4resilience.eu/data/cultural-sites/00196,POINT(30.7389811367 46.4877796692)
https://linked4resilience.eu/data/cultural-sites/00116,POINT(37.6579579361 47.1090191727)
https://linked4resilience.eu/data/cultural-sites/00134,POINT(37.6657891623 48.0653324348)
https://linked4resilience.eu/data/cultural-sites/00169,POINT(31.5490554 46.6090388)
https://linked4resilience.eu/data/cultural-sites/00184,POINT(30.7370573448 46.4879933477)
https://linked4resilience.eu/data/cultural-sites/00049,POINT(36.2343628179 50.0118194327)
https://linked4resilience.eu/data/cultural-sites/00028,POINT(30.2375288459 50.5177068033)
https://linked4resilience.eu/data/cultural-sites/00120,POINT(37.3044378867 47.7573543869)
https://linked4resilience.eu/data/cultural-sites/00013,POINT(31.3360634467 51.5174249173)
https://linked4resilience.eu/data/cultural-sites/00147,POINT(38.4897035197 48.9543196599)
https://linked4resilience.eu/data/cultural-sites/00155,POINT(38.4893622982 48.9496257024)
https://linked4resilience.eu/data/cultural-sites/00170,POINT(32.0172842 46.8626665)
https://linked4resilience.eu/data/cultural-sites/00164,POINT(34.9577606442 50.4746859819)
https://linked4resilience.eu/data/cultural-sites/00098,POINT(37.6667664554 47.1098542201)
https://linked4resilience.eu/data/cultural-sites/00205,POINT(32.2688330412 46.8074635503)
https://linked4resilience.eu/data/cultural-sites/00121,POINT(37.8278048411 48.3326220254)
https://linked4resilience.eu/data/cultural-sites/00032,POINT(29.98284049 50.7963386255)
https://linked4resilience.eu/data/cultural-sites/00193,POINT(30.7356550166 46.4890003462)
https://linked4resilience.eu/data/cultural-sites/00208,POINT(33.9921484323 47.4694682592)
https://linked4resilience.eu/data/cultural-sites/00180,POINT(30.7448744203 46.4845332673)
https://linked4resilience.eu/data/cultural-sites/00102,POINT(37.5628823518 47.0966511864)
https://linked4resilience.eu/data/cultural-sites/00199,POINT(36.5483060824 47.9560008888)
https://linked4resilience.eu/data/cultural-sites/00209,POINT(24.0087523 49.824909)
https://linked4resilience.eu/data/cultural-sites/00128,POINT(37.9712982162 48.5868488477)
https://linked4resilience.eu/data/cultural-sites/00126,POINT(37.9959459125 48.6340134524)
https://linked4resilience.eu/data/cultural-sites/00167,POINT(34.9577650001 50.4793500585)
https://linked4resilience.eu/data/cultural-sites/00100,POINT(37.5596192136 47.0934564895)
https://linked4resilience.eu/data/cultural-sites/00089,POINT(35.7830601896 47.5765845953)
https://linked4resilience.eu/data/cultural-sites/00023,POINT(30.5867633001 50.4532817698)
https://linked4resilience.eu/data/cultural-sites/00043,POINT(30.5142503541 50.4456594486)
https://linked4resilience.eu/data/cultural-sites/00159,POINT(34.8929495424 50.3047455702)
https://linked4resilience.eu/data/cultural-sites/00065,POINT(37.2840370991 49.2261684556)
https://linked4resilience.eu/data/cultural-sites/00122,POINT(37.999457508 48.5971049441)
https://linked4resilience.eu/data/cultural-sites/00026,POINT(30.25728608 50.4865286707)
https://linked4resilience.eu/data/cultural-sites/00009,POINT(31.2941989867 51.4912992961)
https://linked4resilience.eu/data/cultural-sites/00191,POINT(30.7358203183 46.4891201115)
https://linked4resilience.eu/data/cultural-sites/00165,POINT(34.82412283 50.914148041)
https://linked4resilience.eu/data/cultural-sites/00210,POINT(24.0916430847 49.8984162855)
https://linked4resilience.eu/data/cultural-sites/00044,POINT(30.5111498951 50.4421570731)
https://linked4resilience.eu/data/cultural-sites/00203,POINT(32.6255623595 46.6390091682)
https://linked4resilience.eu/data/cultural-sites/00211,POINT(23.9446456747 49.8449274631)
https://linked4resilience.eu/data/cultural-sites/00094,POINT(37.6397284518 47.0980608824)
https://linked4resilience.eu/data/cultural-sites/00118,POINT(37.6833276019 48.512954898)
https://linked4resilience.eu/data/cultural-sites/00068,POINT(36.2052194673 50.0031503141)
https://linked4resilience.eu/data/cultural-sites/00130,POINT(38.0175712787 48.555369363)
https://linked4resilience.eu/data/cultural-sites/00138,POINT(38.5153895607 48.9416146401)
https://linked4resilience.eu/data/cultural-sites/00136,POINT(38.4919954581 48.9566949492)
https://linked4resilience.eu/data/cultural-sites/00145,POINT(38.4051822343 48.9866372535)
https://linked4resilience.eu/data/cultural-sites/00088,POINT(35.2806424421 47.4703945073)
https://linked4resilience.eu/data/cultural-sites/00201,POINT(32.6315949982 46.6461492095)
https://linked4resilience.eu/data/cultural-sites/00115,POINT(37.3027869448 47.7493243808)
https://linked4resilience.eu/data/cultural-sites/00002,POINT(31.3653939 51.5333489)
https://linked4resilience.eu/data/cultural-sites/00010,POINT(31.3099137118 51.4914424453)
https://linked4resilience.eu/data/cultural-sites/00021,POINT(30.2619749155 50.5286035957)
https://linked4resilience.eu/data/cultural-sites/00045,POINT(30.5139292753 50.4448788176)
https://linked4resilience.eu/data/cultural-sites/00190,POINT(30.7351649135 46.4909102009)
https://linked4resilience.eu/data/cultural-sites/00039,POINT(31.3760329411 50.4958127376)
https://linked4resilience.eu/data/cultural-sites/00206,POINT(32.6225341693 46.6389809908)
https://linked4resilience.eu/data/cultural-sites/00086,POINT(36.2321289412 49.9912034266)
https://linked4resilience.eu/data/cultural-sites/00087,POINT(36.280880337 47.6622713128)
https://linked4resilience.eu/data/cultural-sites/00149,POINT(38.3708131581 49.0333429972)
https://linked4resilience.eu/data/cultural-sites/00007,POINT(31.2881894848 51.4877821497)
https://linked4resilience.eu/data/cultural-sites/00004,POINT(31.3254843411 51.5028060067)
https://linked4resilience.eu/data/cultural-sites/00011,POINT(31.2917023668 51.3768158802)
https://linked4resilience.eu/data/cultural-sites/00127,POINT(37.8369838827 48.5881673195)
https://linked4resilience.eu/data/cultural-sites/00008,POINT(31.3912379136 51.3858078276)
https://linked4resilience.eu/data/cultural-sites/00057,POINT(36.2647607258 50.0385834608)
https://linked4resilience.eu/data/cultural-sites/00083,POINT(36.8000135792 50.1266423865)
https://linked4resilience.eu/data/cultural-sites/00019,POINT(31.1509406217 50.7042498289)
https://linked4resilience.eu/data/cultural-sites/00162,POINT(34.8934802964 50.3045046657)
https://linked4resilience.eu/data/cultural-sites/00096,POINT(37.5026170126 47.9383388593)
https://linked4resilience.eu/data/cultural-sites/00183,POINT(30.7304843707 46.4834229724)
https://linked4resilience.eu/data/cultural-sites/00061,POINT(36.2300957036 49.9737377749)
https://linked4resilience.eu/data/cultural-sites/00135,POINT(39.2396535308 48.7325608953)
https://linked4resilience.eu/data/cultural-sites/00084,POINT(36.2673986719 49.9952970835)
https://linked4resilience.eu/data/cultural-sites/00179,POINT(30.7439517405 46.4853237651)
https://linked4resilience.eu/data/cultural-sites/00131,POINT(37.8268056534 48.4831821532)
https://linked4resilience.eu/data/cultural-sites/00018,POINT(31.4609500716 50.5135012964)
https://linked4resilience.eu/data/cultural-sites/00055,POINT(36.2356700114 49.989451144)
https://linked4resilience.eu/data/cultural-sites/00080,POINT(36.2458638928 50.0067492027)
https://linked4resilience.eu/data/cultural-sites/00105,POINT(37.554072 47.0953752197)
https://linked4resilience.eu/data/cultural-sites/00125,POINT(38.0147355969 48.5936008846)
https://linked4resilience.eu/data/cultural-sites/00041,POINT(30.5212028383 50.4225942388)
https://linked4resilience.eu/data/cultural-sites/00150,POINT(38.4206625675 48.91355603)
https://linked4resilience.eu/data/cultural-sites/00163,POINT(34.9684929423 50.4823048639)
https://linked4resilience.eu/data/cultural-sites/00189,POINT(30.7352507428 46.4909545196)
