UNESCO_Site_At_Risk;Damaged_Site_Nearby;Event_Date;Attack_Type;Distance_UNESCO_to_Damage_m;Distance_Attack_to_Impact_m;Violation_Risk_Level;ACLED_Notes
Historic Centre of Tchernigov, 9th—13th centuries;Historic building of the regional youth center (formerly the Shchors Cinema);2022-02-27;Air/drone strike;226.8;1636.3;CRITICAL (Indiscriminate Attack);On 27 February 2022, the Russian military forces carried out air strikes and shelled with heavy weaponry the city of Chernihiv, damaging 6 residential buildings, including a children's dental clinic and kindergarten. Russian troops also launched a missile attack on the center of the city. Two Ukrainian soldiers were killed. Also, 16 civilians sustained various degree injuries.
Historic Centre of Tchernigov, 9th—13th centuries;Chernihiv Regional Universal Scientific Library. V.G. Korolenko;2022-03-30;Shelling/artillery/missile attack;778.2;1091.3;High (Negligence Risk);On 30 March 2022, the Russian forces continued to fire artillery in the direction of Chernihiv. Casualties unknown.
Historic Centre of Tchernigov, 9th—13th centuries;St. Kazan Church;2022-03-07;Armed clash;813.1;1984.4;High (Negligence Risk);On 7 March 2022, the Russian military forces clashed with Ukrainian forces near Chernihiv. Casualties unknown.
Historic Centre of Tchernigov, 9th—13th centuries;Central City Library M. Kotsiubynsky;2022-02-27;Air/drone strike;307.2;1706.8;CRITICAL (Indiscriminate Attack);On 27 February 2022, the Russian military forces carried out air strikes and shelled with heavy weaponry the city of Chernihiv, damaging 6 residential buildings, including a children's dental clinic and kindergarten. Russian troops also launched a missile attack on the center of the city. Two Ukrainian soldiers were killed. Also, 16 civilians sustained various degree injuries.
Historic Centre of Tchernigov, 9th—13th centuries;Chernihiv Regional Taras Shevchenko Theater;2023-08-19;Shelling/artillery/missile attack;80.1;1848.3;CRITICAL (Indiscriminate Attack);On 19 August 2023, Russian forces launched 'Iskander' missile at an opera theatre, where a drone exhibition took place, in Chernihiv. 7 civilians were killed, including a child, and 156 civilians were injured.
Historic Centre of Tchernigov, 9th—13th centuries;The building of the “Desna” Hotel (architectural monument of local importance);2023-08-19;Shelling/artillery/missile attack;131.3;1734.7;CRITICAL (Indiscriminate Attack);On 19 August 2023, Russian forces launched 'Iskander' missile at an opera theatre, where a drone exhibition took place, in Chernihiv. 7 civilians were killed, including a child, and 156 civilians were injured.
