artist_name,works_count,wikidata_id,birth_year,death_year,nationality,movement,notes
Nikolay Dubovskoy,1,,,,,,
Nikolay Ovechkin,1,,,,,,
Nikolay Remizov,1,,,,,,
Nikolay Romadin,1,,,,,,
Nikolay Troshin,1,,,,,,
Nina Gan,1,,,,,,
Ojars Abols,1,,,,,,
Oleksandr Deyneka,1,,,,,,
Oleksandr Diatala,1,,,,,,
Oleksandr Kropko,1,,,,,,
Oleksandr Vyatkin,1,,,,,,
Oleksandr Zhurba,1,,,,,,
Oleksii Boholiubov,1,,,,,,
Oleksii Kolesov,1,,,,,,
Olga Atroshchenko,1,,,,,,
Olga Bondarenko (Shkuropat),1,,,,,,
Olha Bryntseva,1,,,,,,
Orest Sleshinsky,1,,,,,,
P. Sokolov,1,,,,,,
Pavel Yakovlev,1,,,,,,
Pavlo Shulga,1,,,,,,
Peter Kamenicek,1,,,,,,
Peter Lely (Pieter van der Faes),1,,,,,,
Petr Kotov,1,,,,,,
Petro Ignatiev,1,,,,,,
Petro Konchalovsky,1,,,,,,
Petro Nilus,1,,,,,,
Petro Ossovskyi,1,,,,,,
Petro Sakhro,1,,,,,,
Petro Slyota,1,,,,,,
Petro Stolyarenko,1,,,,,,
Petro Yablunovskyi,1,,,,,,
Pilip Taralevic,1,,,,,,
Prokhazka Yaroslav,1,,,,,,
Raimondas Savickas,1,,,,,,
Redzhepgeldy Charyev,1,,,,,,
Roman Yavorsky,1,,,,,,
Romualdas Balinskas,1,,,,,,
Rostyslav Zviahintsev,1,,,,,,
Rudolf Frenz,1,,,,,,
Rufin Sudkivsky,1,,,,,,
Salikhitdin Aitbayev,1,,,,,,
Sazonov A.,1,,,,,,
Semen Prokhorov,1,,,,,,
Serafima Senkevich,1,,,,,,
Sergei Korovin,1,,,,,,
Sergey Anarbekov,1,,,,,,
Sergey Kapovsky,1,,,,,,
Sergey Sevastyanov,1,,,,,,
Sergey Sinitsyn,1,,,,,,
Sergey Vladimirov,1,,,,,,
Serhii Podervianskyi,1,,,,,,
Serhii Shishko,1,,,,,,
Serhii Sviatoslavskyi,1,,,,,,
Serhii Vynohradov,1,,,,,,
Serhii Yehornov,1,,,,,,
Serhiy Grigoriev,1,,,,,,
Serhiy Sova,1,,,,,,
Serhiy Svitoslavsky,1,,,,,,
Slava Livshits,1,,,,,,
Smyrnov,1,,,,,,
Stanislav Khokhlov,1,,,,,,
Stanislav Zhukovsky,1,,,,,,
Stepan Kolesnykov,1,,,,,,
Stepan Nechay,1,,,,,,
Svitlana Kryzhevska,1,,,,,,
Tamara Boksheva,1,,,,,,
Tamara Naumova,1,,,,,,
Tatiana Staroselska,1,,,,,,
Teofil Fraierman,1,,,,,,
Tetyana Kuptsova,1,,,,,,
Tetyana Yablonska,1,,,,,,
Tsiplakov Victor Grigorevich,1,,,,,,
Tyt Dvornykov,1,,,,,,
Una Lekuze,1,,,,,,
Unknown Artist,1,,,,,,
Unknown artist,1,,,,,,
Unknown artist (from Panauer's work),1,,,,,,
Valdur-Olev Ohakas,1,,,,,,
Valentin Bernadsky,1,,,,,,
Valentina Bahgchevan,1,,,,,,
Valentyn Pashchenko,1,,,,,,
Valentyn Reunov,1,,,,,,
Valentyna Tsvietkova,1,,,,,,
Valerii Seheda,1,,,,,,
Valery Mashnitsky,1,,,,,,
Valery Radetsky,1,,,,,,
Vasil Arapov,1,,,,,,
Vasiliy Svarog,1,,,,,,
Vasily Kalinin,1,,,,,,
Vasyl Chornyi,1,,,,,,
Vasyl Habda,1,,,,,,
Vasyl Pereplotchykov,1,,,,,,
Vasyl Perevalskyi,1,,,,,,
Vasyl Polenov,1,,,,,,
Viktor Babentsov,1,,,,,,
Viktor Balash,1,,,,,,
Viktor Kiselev,1,,,,,,
Viktor Otiev,1,,,,,,
Viktor Popkov,1,,,,,,
Viktor Sevastianov,1,,,,,,
Viktor Spirin,1,,,,,,
Viktor Trapenok,1,,,,,,
Viktor Tsyplakov,1,,,,,,
Viktor Zaretskyi,1,,,,,,
Viktoria-Maryna Derehus,1,,,,,,
Vira Semeniuk,1,,,,,,
Vitaliy Poltavsky,1,,,,,,
Vladimir Brynin,1,,,,,,
Vladimir Kirkevich Mikhailovich,1,,,,,,
Vladimir Pavlotsky,1,,,,,,
Vladimir Podlevsky,1,,,,,,
Vladislav Khoroshailo,1,,,,,,
Vladlen Vaganov,1,,,,,,
Vladyslav Izmailovych,1,,,,,,
Volodymyr Blahovischenskyi,1,,,,,,
Volodymyr Gavrilov,1,,,,,,
Volodymyr Goncharenko,1,,,,,,
Volodymyr Khorenko,1,,,,,,
Volodymyr Kirkevych,1,,,,,,
Volodymyr Kuznetsov,1,,,,,,
Volodymyr Makovsky,1,,,,,,
Volodymyr Patik,1,,,,,,
Volodymyr Yugai,1,,,,,,
Volodymyr Zastavskyi,1,,,,,,
Volokidin Pavlo,1,,,,,,
Witold Bialynicki-Birulia,1,,,,,,
Yadviha Matseievska,1,,,,,,
Yarly Bayramov,1,,,,,,
Yevdokiya Boldyrieva,1,,,,,,
Yevgeny Lanceray,1,,,,,,
Yevhen Bukovetskyi,1,,,,,,
Yevhen Konopatsky,1,,,,,,
Yevhen Stolytsya,1,,,,,,
Yevsey Moiseenko,1,,,,,,
Yosyp Braz,1,,,,,,
Yukhym Kerzhner,1,,,,,,
Yukhym Vaisburh,1,,,,,,
Yuri Avdeev,1,,,,,,
Yurii Avgustovych,1,,,,,,
Yuriy Balykov,1,,,,,,
Yuriy Charyshnikov,1,,,,,,
Yuriy Didenko,1,,,,,,
Yuriy Malyshevsky,1,,,,,,
Zinaida Zatsepina,1,,,,,,
Євген Джолос-Соловйов,1,,,,,,
Август фон Байєр,1,,,,,,
Борис Корабельников,1,,,,,,
Микола Писанко,1,,,,,,
