wikidata_id,artist_name,original_search_name,wikidata_url,nationality_1,nationality_2,nationality_3,nationality_4,nationality_5,movement_1,movement_2,occupation_1,occupation_2,occupation_3,birthYear,deathYear
Q4288781,Yuri Mezhirov,Yuri Mezhirov,http://www.wikidata.org/entity/Q4288781,Russia,Soviet Union,,,,realism,,painter,,,1933.0,2012.0
Q4305204,Dmitry Mochalsky,Dmitry Mochalsky,http://www.wikidata.org/entity/Q4305204,Soviet Union,,,,,,,painter,,,1908.0,1988.0
Q432523,Boris Grigoriev,Boris Grigoriev,http://www.wikidata.org/entity/Q432523,France,Russian Empire,,,,Russian avant-garde,,painter,,,1886.0,1939.0
Q4364640,Anatoly Platonov,Anatoly Platonov,http://www.wikidata.org/entity/Q4364640,Russia,Soviet Union,,,,,,painter,,,1930.0,2001.0
Q437792,Konstantin Korovin,Konstantin Korovin,http://www.wikidata.org/entity/Q437792,France,Russian Empire,,,,Impressionism,,painter,,,1861.0,1939.0
Q4387336,Pavel Radimov,Pavel Radimov,http://www.wikidata.org/entity/Q4387336,Soviet Union,Russian Empire,,,,,,painter,,,1887.0,1967.0
Q4448299,Fedot Sychkov,Fedot Sychkov,http://www.wikidata.org/entity/Q4448299,Soviet Union,Russian Empire,,,,,,painter,,,1870.0,1958.0
Q4535928,Tetiana Yablonska,Tetiana Yablonska,http://www.wikidata.org/entity/Q4535928,Ukraine,Soviet Union,Russian Empire,Belarusian People's Republic,,,,painter,,,1917.0,2005.0
Q56033555,Alexey Savrasov,Alexey Savrasov,http://www.wikidata.org/entity/Q56033555,,,,,,,,painter,,,1830.0,1897.0
Q56285847,Mark Malyutin,Mark Malyutin,http://www.wikidata.org/entity/Q56285847,Russia,Russian Soviet Federative Socialist Republic,Russian Socialist Federative Soviet Republic,,,,,painter,,,1919.0,1998.0
Q5640565,Hakob Hakobyan,Hakob Hakobyan,http://www.wikidata.org/entity/Q5640565,Armenia,Soviet Union,,,,,,painter,sculptor,,1923.0,2013.0
Q610532,David Burliuk,David Burliuk,http://www.wikidata.org/entity/Q610532,United States,Russian Empire,,,,Russian Futurism,,painter,visual artist,,1882.0,1967.0
Q613700,Vladimir Orlovsky,Vladimir Orlovsky,http://www.wikidata.org/entity/Q613700,,,,,,Realism,,painter,,,1842.0,1914.0
Q62088625,Boris Rapoport,Boris Rapoport,http://www.wikidata.org/entity/Q62088625,Russia,Soviet Union,,,,,,painter,,,1939.0,2004.0
Q6356497,Pavlo Horobets,Pavlo Horobets,http://www.wikidata.org/entity/Q6356497,Soviet Union,Russian Empire,Ukrainian People's Republic,,,,,painter,,,1905.0,1974.0
Q75134857,Paul Barbier,Paul Barbier,http://www.wikidata.org/entity/Q75134857,France,,,,,,,artist,painter,,1760.0,1819.0
Q8041350,Włodzimierz Zakrzewski,Włodzimierz Zakrzewski,http://www.wikidata.org/entity/Q8041350,Poland,,,,,,,painter,,,1916.0,1992.0
Q9391703,Zofia Albinowska-Minkiewiczowa,Zofia Albinowska-Minkiewiczowa,http://www.wikidata.org/entity/Q9391703,,,,,,,,painter,,,1886.0,1972.0
Q943854,Konstantin Gorbatov,Konstantin Gorbatov,http://www.wikidata.org/entity/Q943854,Russian Empire,,,,,,,painter,,,1876.0,1945.0
Q952189,Nikolai Sverchkov,Nikolai Sverchkov,http://www.wikidata.org/entity/Q952189,Russian Empire,,,,,,,painter,,,1817.0,1898.0
Q97182600,Tamara Khitrova,Tamara Khitrova,http://www.wikidata.org/entity/Q97182600,Soviet Union,Russian Empire,,,,,,painter,,,1913.0,1991.0
Q972033,Nikolay Kasatkin,Nikolay Kasatkin,http://www.wikidata.org/entity/Q972033,Soviet Union,Russian Empire,,,,realism,,painter,,,1859.0,1930.0
